timestamp,binary,file,t,r,keep_open,lookups,difficulty,found,not_found,matches,avg_ms_per_lookup,total_ms,total_s
2026-01-20T21:22:42+00:00,./vaultx,/data-l/iraicu/tmp/,2,2,false,10,4,2711,1669,4294,5139.3608,22510400.12,22510.400120
2026-01-20T21:23:29+00:00,./vaultx,/data-l/iraicu/tmp/,2,2,true,10,4,2777,1603,4391,4711.3140,20635555.49,20635.555490
2026-01-20T21:24:20+00:00,./vaultx,/data-l/iraicu/tmp/,2,4,false,10,4,2690,1690,4208,5064.9724,22184579.03,22184.579030
2026-01-20T21:25:05+00:00,./vaultx,/data-l/iraicu/tmp/,2,4,true,10,4,2750,1630,4268,4525.5632,19821966.77,19821.966770
2026-01-20T21:25:58+00:00,./vaultx,/data-l/iraicu/tmp/,2,8,false,10,4,2782,1598,4383,5214.1865,22838136.77,22838.136770
2026-01-20T21:26:44+00:00,./vaultx,/data-l/iraicu/tmp/,2,8,true,10,4,2773,1607,4358,4556.2863,19956533.87,19956.533870
2026-01-20T21:27:38+00:00,./vaultx,/data-l/iraicu/tmp/,2,16,false,10,4,2828,1552,4508,5412.0535,23704794.19,23704.794190
2026-01-20T21:28:24+00:00,./vaultx,/data-l/iraicu/tmp/,2,16,true,10,4,2817,1563,4444,4540.1261,19885752.28,19885.752280
2026-01-20T21:29:15+00:00,./vaultx,/data-l/iraicu/tmp/,2,128,false,10,4,2800,1580,4494,5137.7910,22503524.54,22503.524540
2026-01-20T21:30:01+00:00,./vaultx,/data-l/iraicu/tmp/,2,128,true,10,4,2728,1652,4333,4563.4934,19988101.15,19988.101150
2026-01-20T21:30:43+00:00,./vaultx,/data-l/iraicu/tmp/,4,1,false,10,4,2797,1583,4430,4225.8368,18509165.08,18509.165080
2026-01-20T21:31:23+00:00,./vaultx,/data-l/iraicu/tmp/,4,1,true,10,4,2816,1564,4437,3927.5353,17202604.45,17202.604450
2026-01-20T21:32:03+00:00,./vaultx,/data-l/iraicu/tmp/,4,2,false,10,4,2765,1615,4417,3977.7147,17422390.56,17422.390560
2026-01-20T21:32:42+00:00,./vaultx,/data-l/iraicu/tmp/,4,2,true,10,4,2784,1596,4432,3904.5342,17101859.91,17101.859910
2026-01-20T21:33:23+00:00,./vaultx,/data-l/iraicu/tmp/,4,4,false,10,4,2796,1584,4404,4043.6205,17711057.66,17711.057660
2026-01-20T21:34:02+00:00,./vaultx,/data-l/iraicu/tmp/,4,4,true,10,4,2779,1601,4490,3858.4905,16900188.29,16900.188290
2026-01-20T21:34:43+00:00,./vaultx,/data-l/iraicu/tmp/,4,8,false,10,4,2765,1615,4350,4070.7919,17830068.39,17830.068390
2026-01-20T21:35:22+00:00,./vaultx,/data-l/iraicu/tmp/,4,8,true,10,4,2777,1603,4324,3942.0068,17265989.72,17265.989720
2026-01-20T21:36:02+00:00,./vaultx,/data-l/iraicu/tmp/,4,16,false,10,4,2764,1616,4317,3997.9237,17510905.78,17510.905780
2026-01-20T21:36:42+00:00,./vaultx,/data-l/iraicu/tmp/,4,16,true,10,4,2742,1638,4290,3904.9172,17103537.45,17103.537450
2026-01-20T21:37:24+00:00,./vaultx,/data-l/iraicu/tmp/,4,128,false,10,4,2712,1668,4312,4227.6766,18517223.46,18517.223460
2026-01-20T21:38:03+00:00,./vaultx,/data-l/iraicu/tmp/,4,128,true,10,4,2791,1589,4429,3862.9271,16919620.68,16919.620680
2026-01-20T21:38:39+00:00,./vaultx,/data-l/iraicu/tmp/,8,1,false,10,4,2775,1605,4422,3606.6396,15797081.36,15797.081360
2026-01-20T21:39:13+00:00,./vaultx,/data-l/iraicu/tmp/,8,1,true,10,4,2847,1533,4500,3360.4086,14718589.63,14718.589630
2026-01-20T21:39:50+00:00,./vaultx,/data-l/iraicu/tmp/,8,2,false,10,4,2780,1600,4423,3640.9692,15947444.90,15947.444900
2026-01-20T21:40:24+00:00,./vaultx,/data-l/iraicu/tmp/,8,2,true,10,4,2816,1564,4451,3418.8188,14974426.43,14974.426430
2026-01-20T21:41:00+00:00,./vaultx,/data-l/iraicu/tmp/,8,4,false,10,4,2767,1613,4370,3584.4919,15700074.62,15700.074620
2026-01-20T21:41:33+00:00,./vaultx,/data-l/iraicu/tmp/,8,4,true,10,4,2771,1609,4275,3276.0272,14348999.16,14348.999160
2026-01-20T21:42:10+00:00,./vaultx,/data-l/iraicu/tmp/,8,8,false,10,4,2785,1595,4308,3640.5270,15945508.06,15945.508060
2026-01-20T21:42:43+00:00,./vaultx,/data-l/iraicu/tmp/,8,8,true,10,4,2768,1612,4382,3362.0077,14725593.53,14725.593530
2026-01-20T21:43:20+00:00,./vaultx,/data-l/iraicu/tmp/,8,16,false,10,4,2687,1693,4217,3581.1659,15685506.69,15685.506690
2026-01-20T21:43:53+00:00,./vaultx,/data-l/iraicu/tmp/,8,16,true,10,4,2825,1555,4439,3292.4344,14420862.87,14420.862870
2026-01-20T21:44:29+00:00,./vaultx,/data-l/iraicu/tmp/,8,128,false,10,4,2803,1577,4437,3646.1067,15969947.24,15969.947240
2026-01-20T21:45:02+00:00,./vaultx,/data-l/iraicu/tmp/,8,128,true,10,4,2793,1587,4435,3240.2886,14192463.87,14192.463870
2026-01-20T21:45:32+00:00,./vaultx,/data-l/iraicu/tmp/,16,1,false,10,4,2751,1629,4323,3033.5256,13286842.33,13286.842330
2026-01-20T21:46:01+00:00,./vaultx,/data-l/iraicu/tmp/,16,1,true,10,4,2755,1625,4414,2885.4214,12638145.79,12638.145790
2026-01-20T21:46:32+00:00,./vaultx,/data-l/iraicu/tmp/,16,2,false,10,4,2768,1612,4394,3053.7884,13375593.31,13375.593310
2026-01-20T21:47:02+00:00,./vaultx,/data-l/iraicu/tmp/,16,2,true,10,4,2820,1560,4375,2910.3403,12747290.67,12747.290670
2026-01-20T21:47:31+00:00,./vaultx,/data-l/iraicu/tmp/,16,4,false,10,4,2777,1603,4455,2954.4528,12940503.10,12940.503100
2026-01-20T21:48:00+00:00,./vaultx,/data-l/iraicu/tmp/,16,4,true,10,4,2766,1614,4444,2820.5704,12354098.19,12354.098190
2026-01-20T21:48:30+00:00,./vaultx,/data-l/iraicu/tmp/,16,8,false,10,4,2798,1582,4416,2988.6756,13090399.21,13090.399210
2026-01-20T21:48:58+00:00,./vaultx,/data-l/iraicu/tmp/,16,8,true,10,4,2748,1632,4424,2753.3078,12059488.30,12059.488300
2026-01-20T21:49:30+00:00,./vaultx,/data-l/iraicu/tmp/,16,16,false,10,4,2772,1608,4454,3179.3413,13925514.99,13925.514990
2026-01-20T21:49:57+00:00,./vaultx,/data-l/iraicu/tmp/,16,16,true,10,4,2773,1607,4421,2763.1661,12102667.38,12102.667380
2026-01-20T21:50:29+00:00,./vaultx,/data-l/iraicu/tmp/,16,128,false,10,4,2765,1615,4383,3122.5733,13676870.86,13676.870860
2026-01-20T21:50:57+00:00,./vaultx,/data-l/iraicu/tmp/,16,128,true,10,4,2718,1662,4274,2760.3369,12090275.81,12090.275810
2026-01-20T21:51:26+00:00,./vaultx,/data-l/iraicu/tmp/,128,1,false,10,4,2794,1586,4434,2917.7975,12779953.19,12779.953190
2026-01-20T21:51:52+00:00,./vaultx,/data-l/iraicu/tmp/,128,1,true,10,4,2753,1627,4356,2523.0698,11051045.78,11051.045780
2026-01-20T21:52:24+00:00,./vaultx,/data-l/iraicu/tmp/,128,2,false,10,4,2768,1612,4445,3215.6272,14084447.07,14084.447070
2026-01-20T21:52:48+00:00,./vaultx,/data-l/iraicu/tmp/,128,2,true,10,4,2763,1617,4308,2352.8931,10305671.80,10305.671800
2026-01-20T21:53:20+00:00,./vaultx,/data-l/iraicu/tmp/,128,4,false,10,4,2809,1571,4363,3175.3350,13907967.13,13907.967130
2026-01-20T21:53:43+00:00,./vaultx,/data-l/iraicu/tmp/,128,4,true,10,4,2706,1674,4256,2271.8448,9950680.23,9950.680230
2026-01-20T21:54:13+00:00,./vaultx,/data-l/iraicu/tmp/,128,8,false,10,4,2815,1565,4449,2987.4928,13085218.53,13085.218530
2026-01-20T21:54:35+00:00,./vaultx,/data-l/iraicu/tmp/,128,8,true,10,4,2783,1597,4418,2253.4577,9870144.71,9870.144710
2026-01-20T21:55:05+00:00,./vaultx,/data-l/iraicu/tmp/,128,16,false,10,4,2794,1586,4294,2918.3390,12782324.75,12782.324750
2026-01-20T21:55:29+00:00,./vaultx,/data-l/iraicu/tmp/,128,16,true,10,4,2771,1609,4347,2393.4662,10483381.77,10483.381770
2026-01-20T21:55:57+00:00,./vaultx,/data-l/iraicu/tmp/,128,128,false,10,4,2759,1621,4365,2754.0875,12062903.24,12062.903240
2026-01-20T21:56:20+00:00,./vaultx,/data-l/iraicu/tmp/,128,128,true,10,4,2723,1657,4286,2333.8720,10222359.33,10222.359330
